缘	  
葆	  
茌	  
莝	  
菔	  
藤	  
蕸	  
莫	  
草	  
莳	  
蕞	  
蔓	  
葛	  
萌	  
暮	  
菖	  
范	  
萍	  
茳	  
菏	  
蒲	  
薄	  
菹	  
藩	  
落	  
蒎	  
茫	  
蒗	  
荡	  
菠	  
菬	  
蔢	  
荥	  
蕖	  
藻	  
莎	  
葙	  
菘	  
菥	  
蒁	  
檠	  
荣	  
藁	  
蘖	  
萼	  
葺	  
蕺	  
莴	  
蕗	  
莒	  
营	  
蓥	  
薹	  
葑	  
薣	  
菱	  
莰	  
墓	  
芏	  
茔	  
慕	  
萚	  
菝	  
蒱	  
摹	  
擎	  
葎	  
荇	  
蓰	  
薇	  
蘅	  
淄	  
潍	  
汈	  
溺	  
潺	  
泓	  
浸	  
浕	  
汛	  
沸	  
津	  
汜	  
泯	  
渥	  
溉	  
浔	  
漏	  
涮	  
涨	  
澉	  
泥	  
澼	  
渌	  
凼	  
涵	  
池	  
湄	  
滍	  
漋	  
泐	  
滁	  
汉	  
汊	  
澄	  
泽	  
渗	  
泾	  
涌	  
浚	  
沇	  
滩	  
濯	  
治	  
渲	  
浣	  
淙	  
泞	  
淀	  
演	  
涫	  
渖	  
滨	  
湉	  
溶	  
沱	  
涴	  
滓	  
浨	  
洹	  
渊	  
潖	  
沄	  
沫	  
浅	  
汪	  
汗	  
沣	  
污	  
涛	  
渍	  
溱	  
沅	  
滟	  
瀞	  
清	  
潜	  
添	  
洊	  
汰	  
泷	  
涿	  
湎	  
溽	  
淹	  
洌	  
源	  
沥	  
洧	  
潦	  
涯	  
洟	  
汇	  
沌	  
洭	  
浇	  
湝	  
沤	  
沘	  
渐	  
沏	  
涟	  
浃	  
涞	  
泙	  
濡	  
灞	  
港	  
浡	  
滠	  
渎	  
浦	  
浭	  
涑	  
湅	  
江	  
泔	  
洒	  
洱	  
酒	  
沛	  
沔	  
泄	  
湛	  
漂	  
汀	  
汁	  
溥	  
滞	  
潢	  
漖	  
潵	  
洪	  
淇	  
滇	  
漱	  
濑	  
澌	  
渤	  
瀚	  
湖	  
潮	  
渚	  
溍	  
漕	  
潭	  
渫	  
溧	  
河	  
沽	  
浯	  
湮	  
泸	  
淑	  
濒	  
瀣	  
涉	  
浈	  
滹	  
泚	  
滤	  
淖	  
沾	  
浉	  
漯	  
汭	  
泱	  
浊	  
沮	  
油	  
沺	  
泗	  
泪	  
洞	  
澧	  
汕	  
涠	  
溅	  
洇	  
淠	  
湍	  
溷	  
涸	  
溃	  
测	  
溦	  
澂	  
淟	  
漶	  
泅	  
涔	  
濉	  
渭	  
滑	  
泂	  
洄	  
渺	  
滥	  
涎	  
溲	  
泊	  
洎	  
洫	  
湟	  
溴	  
澳	  
濞	  
激	  
浜	  
海	  
沲	  
沃	  
洙	  
涐	  
汘	  
汔	  
汽	  
湃	  
浰	  
滗	  
洗	  
湫	  
活	  
浩	  
潲	  
溪	  
汹	  
浮	  
泛	  
滏	  
浠	  
淆	  
湓	  
潘	  
滔	  
淫	  
汾	  
洮	  
浴	  
洈	  
泡	  
泖	  
沟	  
没	  
汋	  
汐	  
汲	  
泺	  
渔	  
鲨	  
鸿	  
浲	  
漈	  
漪	  
洚	  
潴	  
浼	  
涣	  
溜	  
淘	  
沨	  
氿	  
澹	  
淴	  
澥	  
洵	  
澛	  
涤	  
沿	  
泃	  
洛	  
洺	  
沂	  
派	  
滋	  
涕	  
沩	  
洣	  
粱	  
泮	  
洋	  
洲	  
洴	  
溠	  
溢	  
瀵	  
淡	  
漾	  
溇	  
烫	  
湔	  
溯	  
湾	  
溏	  
渡	  
瀌	  
汴	  
汶	  
泫	  
裟	  
泣	  
注	  
浐	  
濠	  
漉	  
渟	  
滴	  
漓	  
潼	  
澶	  
浏	  
流	  
济	  
游	  
漩	  
澈	  
洨	  
滚	  
沆	  
濂	  
滂	  
液	  
淤	  
淬	  
湇	  
瀛	  
漳	  
漷	  
滦	  
涪	  
淳	  
瀼	  
懑	  
沁	  
泌	  
泳	  
浓	  
浪	  
沪	  
沈	  
泻	  
浑	  
滘	  
浒	  
沉	  
溟	  
深	  
润	  
澜	  
涧	  
波	  
泼	  
娑	  
婆	  
汝	  
汤	  
涩	  
氻	  
沼	  
洳	  
沧	  
洢	  
溆	  
浍	  
涂	  
濮	  
潋	  
沦	  
滫	  
淮	  
泠	  
渝	  
洽	  
浛	  
瀹	  
淝	  
淜	  
溻	  
淏	  
灏	  
混	  
湜	  
瀑	  
温	  
漫	  
湿	  
渴	  
汨	  
汩	  
沓	  
涅	  
潆	  
潇	  
濛	  
漭	  
满	  
涝	  
漠	  
溁	  
灌	  
滢	  
水	  
淼	  
濋	  
沭	  
湘	  
淞	  
淅	  
漤	  
漆	  
潸	  
渣	  
柒	  
染	  
梁	  
沐	  
淋	  
渠	  
浥	  
濈	  
浞	  
涡	  
涢	  
渑	  
潞	  
涓	  
澡	  
呇	  
淦	  
鋈	  
錃	  
鎏	  
法	  
澍	  
溘	  
澎	  
洁	  
洼	  
沙	  
洸	  
淌	  
消	  
浙	  
挲	  
瀓	  
橼	  
椽	  
杩	  
梫	  
楗	  
根	  
棣	  
柫	  
杞	  
概	  
椐	  
橄	  
柅	  
棂	  
樨	  
榍	  
郴	  
楚	  
李	  
杻	  
杷	  
椭	  
楣	  
权	  
栩	  
杈	  
橙	  
杼	  
树	  
桶	  
橘	  
梭	  
枱	  
柽	  
杰	  
楦	  
棕	  
榉	  
柠	  
棺	  
槟	  
榨	  
榕	  
柁	  
椀	  
檫	  
桉	  
术	  
械	  
桓	  
棫	  
槅	  
札	  
梆	  
枟	  
栈	  
枉	  
杆	  
棒	  
楱	  
楔	  
梼	  
榛	  
棈	  
椿	  
柰	  
标	  
禁	  
杕	  
杖	  
杯	  
栊	  
樊	  
橱	  
杌	  
椅	  
槭	  
橛	  
枥	  
栢	  
橑	  
柘	  
杙	  
栋	  
枒	  
柜	  
框	  
桡	  
朽	  
榧	  
楷	  
枢	  
枇	  
柩	  
梿	  
桎	  
枰	  
樗	  
檽	  
檑	  
桏	  
椰	  
枝	  
椟	  
槱	  
村	  
柄	  
梗	  
楝	  
杠	  
柑	  
栖	  
桠	  
材	  
椹	  
栲	  
植	  
楠	  
槿	  
横	  
樯	  
楋	  
棋	  
栳	  
橞	  
楮	  
榰	  
槽	  
枯	  
柯	  
梧	  
栌	  
椒	  
桢	  
棹	  
桤	  
枘	  
棵	  
柚	  
桐	  
相	  
柙	  
櫑	  
枧	  
椤	  
楞	  
楒	  
樱	  
梣	  
朴	  
榄	  
槛	  
梴	  
槐	  
櫆	  
柏	  
桕	  
皙	  
槔	  
榭	  
棉	  
檄	  
椴	  
槌	  
梅	  
梃	  
枚	  
枨	  
株	  
柞	  
棰	  
杄	  
杵	  
杚	  
桥	  
橇	  
楸	  
栝	  
梏	  
桴	  
松	  
朳	  
桃	  
棼	  
桅	  
柳	  
构	  
柊	  
槲	  
杓	  
极	  
柢	  
栎	  
梦	  
梵	  
橡	  
栅	  
榴	  
枫	  
机	  
桷	  
椈	  
檐	  
檞	  
橹	  
榤	  
枸	  
格	  
椆	  
栀	  
板	  
柝	  
彬	  
杉	  
析	  
楯	  
棬	  
梯	  
样	  
栏	  
椪	  
槎	  
樽	  
棪	  
楼	  
焚	  
柱	  
杧	  
麓	  
梓	  
柿	  
榱	  
檀	  
檩	  
梳	  
椸	  
校	  
杭	  
枋	  
榜	  
核	  
樟	  
榇	  
棓	  
椁	  
椋	  
槁	  
桩	  
榔	  
想	  
懋	  
栐	  
枕	  
槠	  
楄	  
榷	  
榈	  
皶	  
婪	  
杨	  
楹	  
枷	  
柖	  
枪	  
检	  
樵	  
栓	  
桧	  
梌	  
柎	  
桦	  
楩	  
榫	  
椎	  
檎	  
枔	  
柃	  
枞	  
榆	  
棚	  
述	  
榻	  
查	  
棍	  
晳	  
杳	  
栉	  
檬	  
模	  
桫	  
楂	  
	  
林	  
森	  
枵	  
楫	  
枳	  
柷	  
杏	  
梠	  
榀	  
樾	  
棱	  
梽	  
桔	  
杜	  
桂	  
档	  
杪	  
桄	  
梢	  
樘	  
攀	  
桁	  
吆	  
喙	  
吗	  
咝	  
骂	  
躐	  
哟	  
呦	  
叼	  
哪	  
唧	  
踺	  
呎	  
哏	  
啸	  
跟	  
吲	  
咈	  
喔	  
噀	  
踞	  
蹍	  
唰	  
嘱	  
呢	  
噼	  
跽	  
嗣	  
跼	  
叩	  
叫	  
郢	  
郧	  
鄂	  
鄙	  
咄	  
吧	  
吼	  
邑	  
啊	  
嗤	  
叹	  
啜	  
噔	  
蹬	  
踊	  
哞	  
唉	  
唆	  
吮	  
嚁	  
蹘	  
嗵	  
嗓	  
蹂	  
跆	  
喧	  
嗐	  
踪	  
咛	  
啶	  
斝	  
嘧	  
蹿	  
咤	  
喀	  
嚓	  
跎	  
踠	  
蹜	  
噻	  
咺	  
嗝	  
嗉	  
吴	  
呋	  
味	  
趺	  
践	  
呈	  
吁	  
趼	  
呒	  
唪	  
哢	  
踌	  
啧	  
嗪	  
嗷	  
唛	  
呃	  
跋	  
吠	  
呔	  
咙	  
哭	  
啄	  
呸	  
喊	  
喴	  
蹰	  
跨	  
嘎	  
咗	  
踦	  
嘁	  
唵	  
喱	  
颚	  
咧	  
嗄	  
咴	  
噘	  
蹶	  
呖	  
哒	  
跶	  
嘹	  
器	  
嚣	  
跖	  
喹	  
咦	  
呀	  
吨	  
距	  
哐	  
啭	  
哓	  
跷	  
号	  
哔	  
跸	  
咂	  
喈	  
呕	  
吡	  
呯	  
嚅	  
嚯	  
嗦	  
哮	  
嘟	  
吱	  
嗫	  
跂	  
蹑	  
吋	  
吓	  
哺	  
哽	  
戢	  
咁	  
咡	  
哂	  
哑	  
嘌	  
叮	  
叶	  
唝	  
喃	  
喷	  
嚏	  
喇	  
哄	  
嗔	  
蹎	  
嗽	  
嘶	  
喓	  
嘞	  
嘲	  
啫	  
嗜	  
嘈	  
喋	  
蹀	  
呵	  
咕	  
唔	  
嚚	  
囔	  
踧	  
咔	  
足	  
趾	  
噱	  
啡	  
嘘	  
呲	  
唬	  
嘴	  
跐	  
啮	  
啃	  
踔	  
嘢	  
嘿	  
呐	  
呙	  
喁	  
虽	  
踝	  
咀	  
哩	  
吊	  
呷	  
呻	  
黾	  
啯	  
咽	  
喘	  
踹	  
喂	  
哕	  
啰	  
躅	  
嗯	  
嘤	  
呗	  
员	  
喟	  
嘣	  
蹦	  
卟	  
别	  
剐	  
噗	  
蹼	  
嗖	  
踽	  
咱	  
喤	  
嗅	  
嗥	  
噢	  
唣	  
啤	  
啲	  
响	  
哦	  
跃	  
跌	  
咋	  
唾	  
踵	  
吽	  
吃	  
吒	  
氉	  
趷	  
噬	  
蹻	  
躜	  
跣	  
啾	  
踒	  
跹	  
踟	  
蹊	  
嗡	  
呼	  
嗳	  
嚼	  
蹯	  
蹈	  
㕮	  
只	  
叭	  
趴	  
嗲	  
吩	  
跳	  
唏	  
踩	  
跪	  
咆	  
跑	  
咚	  
吸	  
趵	  
趿	  
跞	  
呜	  
跚	  
鸣	  
鸮	  
鹃	  
鹗	  
鹭	  
吻	  
唤	  
蹓	  
啗	  
啕	  
兄	  
叱	  
叽	  
咒	  
哆	  
唿	  
吹	  
喒	  
噜	  
哚	  
跺	  
咯	  
路	  
啁	  
呱	  
跅	  
听	  
踬	  
哌	  
嗞	  
踡	  
踯	  
咪	  
吖	  
咩	  
嗟	  
踫	  
蹉	  
蹲	  
啴	  
嗌	  
啖	  
喽	  
嗍	  
噌	  
蹭	  
踱	  
躞	  
蹠	  
跡	  
唁	  
嚎	  
蹴	  
踮	  
啼	  
嘀	  
蹄	  
躔	  
哜	  
跻	  
嗾	  
蹾	  
咬	  
跤	  
吭	  
喭	  
噺	  
噫	  
唼	  
咳	  
啐	  
唷	  
蹐	  
喑	  
嘛	  
哼	  
嚷	  
踣	  
嚤	  
啷	  
吣	  
咇	  
咏	  
哝	  
踉	  
唳	  
蹁	  
呶	  
跛	  
勋	  
另	  
叨	  
叻	  
咖	  
跏	  
呛	  
跄	  
咿	  
喉	  
噏	  
噍	  
哙	  
啥	  
跧	  
咐	  
哗	  
跗	  
喺	  
唯	  
噙	  
吟	  
呤	  
唸	  
饕	  
喻	  
咻	  
哈	  
唑	  
嗱	  
逞	  
蹋	  
嗮	  
嘬	  
嗢	  
喝	  
踢	  
唱	  
呓	  
喏	  
蹒	  
躇	  
喵	  
哎	  
嚆	  
躏	  
唠	  
嗒	  
嗬	  
噶	  
嚾	  
嗨	  
啵	  
踏	  
噤	  
喳	  
呆	  
啉	  
鼍	  
噪	  
躁	  
口	  
吕	  
品	  
囗	  
呿	  
噎	  
嗑	  
哧	  
嘭	  
咭	  
嘻	  
吐	  
哇	  
跬	  
吵	  
咣	  
唢	  
哨	  
蹚	  
啪	  
哳	  
啦	  
嘚	  
锱	  
镴	  
锓	  
键	  
银	  
锯	  
镄	  
铌	  
锔	  
镪	  
钌	  
钮	  
钯	  
锕	  
锰	  
镅	  
镘	  
钗	  
镫	  
铎	  
镓	  
钭	  
锭	  
镩	  
镔	  
镕	  
铊	  
镲	  
铵	  
铽	  
镉	  
钆	  
钇	  
钰	  
钱	  
锲	  
铸	  
锖	  
钹	  
钚	  
钛	  
铖	  
锛	  
钸	  
镢	  
铕	  
镣	  
铘	  
钺	  
钜	  
钝	  
铙	  
锴	  
链	  
钷	  
铗	  
铼	  
镭	  
镊	  
铺	  
钲	  
钳	  
钵	  
铒	  
钙	  
镖	  
铐	  
针	  
钉	  
镈	  
镇	  
铑	  
锗	  
错	  
镡	  
钴	  
钶	  
钻	  
镙	  
铠	  
钠	  
锞	  
钼	  
钿	  
铀	  
铜	  
锂	  
钟	  
钾	  
铟	  
锢	  
铡	  
钢	  
锣	  
镯	  
锶	  
锄	  
钡	  
镮	  
钋	  
钊	  
镤	  
铿	  
锼	  
铂	  
钏	  
锦	  
锻	  
镍	  
铤	  
铥	  
铁	  
铢	  
锇	  
锤	  
锸	  
锺	  
钎	  
铣	  
锹	  
锈	  
锆	  
锾	  
锊	  
铫	  
铩	  
铮	  
铆	  
铯	  
钩	  
钒	  
钓	  
铄	  
钨	  
锋	  
镏	  
镵	  
钧	  
锪	  
钦	  
镥	  
铅	  
铬	  
铭	  
钣	  
钐	  
锧	  
锨	  
锩	  
镃	  
锑	  
镁	  
镒	  
锬	  
镂	  
钬	  
镨	  
锐	  
镛	  
镀	  
镳	  
铉	  
铱	  
铲	  
锌	  
铈	  
镝	  
锍	  
镞	  
镟	  
镦	  
铰	  
钪	  
钫	  
铳	  
锵	  
镜	  
镰	  
镑	  
镱	  
锫	  
锿	  
镐	  
镶	  
铋	  
锒	  
鈩	  
钔	  
锎	  
镧	  
锏	  
铍	  
钕	  
钖	  
铷	  
铨	  
铧	  
锥	  
钤	  
铃	  
镌	  
铪	  
锉	  
镎	  
钥	  
钽	  
锝	  
锟	  
鍉	  
锡	  
锘	  
锚	  
铓	  
铹	  
镬	  
镆	  
铴	  
锃	  
锷	  
铞	  
锅	  
铝	  
金	  
鑫	  
钍	  
铛	  
钞	  
锁	  
镋	  
销	  
镗	  
坶	  
毐	  
坳	  
堀	  
块	  
垠	  
埭	  
垏	  
圮	  
圯	  
起	  
埽	  
坭	  
墀	  
却	  
赳	  
邽	  
邿	  
郝	  
赧	  
声	  
地	  
墁	  
壻	  
去	  
埃	  
趯	  
熹	  
垸	  
埪	  
垞	  
坨	  
垵	  
垣	  
域	  
塥	  
壹	  
坛	  
圩	  
赶	  
圬	  
坏	  
垅	  
城	  
坯	  
垮	  
堧	  
埼	  
埯	  
颉	  
趔	  
塬	  
埝	  
坜	  
垯	  
嚭	  
磬	  
甏	  
越	  
坉	  
堰	  
垤	  
坪	  
壖	  
趣	  
鼓	  
埂	  
埔	  
寺	  
封	  
坩	  
垭	  
壸	  
堪	  
圢	  
埴	  
墙	  
填	  
墈	  
堵	  
赭	  
堞	  
坷	  
堙	  
垆	  
走	  
址	  
埗	  
墟	  
坫	  
垲	  
螫	  
垌	  
埋	  
盍	  
盐	  
瞽	  
趄	  
坤	  
堌	  
塄	  
坝	  
卦	  
赴	  
壶	  
埏	  
赤	  
垍	  
圳	  
埠	  
埤	  
鼙	  
塅	  
垧	  
赦	  
埵	  
罄	  
圪	  
趱	  
馨	  
垺	  
埒	  
赵	  
趋	  
彀	  
毂	  
觳	  
圾	  
坻	  
堍	  
坍	  
坞	  
壳	  
均	  
坎	  
款	  
垛	  
垎	  
坂	  
坬	  
坼	  
彭	  
圻	  
垢	  
幸	  
增	  
墡	  
塆	  
塘	  
墉	  
垿	  
坟	  
垃	  
圹	  
謦	  
壕	  
墒	  
墩	  
垴	  
坊	  
坑	  
境	  
趑	  
塝	  
懿	  
垓	  
堉	  
培	  
壤	  
志	  
恚	  
悫	  
憙	  
坡	  
场	  
劫	  
嘉	  
超	  
堠	  
趁	  
堆	  
堬	  
堋	  
迼	  
逵	  
塌	  
坦	  
垾	  
埘	  
堤	  
埸	  
塔	  
漐	  
墚	  
埕	  
埙	  
埚	  
袁	  
吉	  
喜	  
赫	  
堎	  
喆	  
囍	  
土	  
圭	  
垚	  
堼	  
士	  
垱	  
垙	  
埫	  
趟	  
当	  
耀	  
少	  
尝	  
尖	  
光	  
尜	  
牚	  
省	  
常	  
赏	  
尚	  
削	  
敞	  
氅	  
党	  
裳	  
辉	  
劣	  
肖	  
逍	  
棠	  
堂	  
尘	  
小	  
掌	  
拇	  
掾	  
掼	  
拶	  
拗	  
絷	  
搦	  
挪	  
掘	  
抉	  
扫	  
拂	  
抿	  
握	  
摡	  
挦	  
据	  
搌	  
撰	  
撖	  
摒	  
擗	  
捃	  
报	  
扭	  
拯	  
拙	  
把	  
掇	  
抒	  
择	  
揆	  
拚	  
掺	  
捅	  
搔	  
摺	  
挨	  
拟	  
摊	  
擢	  
揉	  
搡	  
抬	  
热	  
揎	  
挖	  
捖	  
抖	  
拧	  
控	  
搅	  
撺	  
摈	  
挓	  
擦	  
按	  
拭	  
扎	  
扶	  
抟	  
抹	  
抚	  
捧	  
揍	  
撵	  
摏	  
掭	  
扼	  
拔	  
扰	  
抔	  
拢	  
抷	  
挎	  
振	  
捺	  
掎	  
掩	  
撅	  
擒	  
撼	  
挞	  
撩	  
拓	  
捱	  
找	  
拣	  
捷	  
扽	  
拒	  
挠	  
捯	  
揩	  
抠	  
批	  
揠	  
擓	  
挟	  
抨	  
摴	  
擂	  
攉	  
揶	  
技	  
摄	  
捕	  
扛	  
拷	  
打	  
搏	  
撒	  
拱	  
撕	  
擀	  
挝	  
措	  
揲	  
捂	  
攮	  
拤	  
扯	  
排	  
摅	  
掳	  
掉	  
拈	  
摞	  
蛰	  
蜇	  
抽	  
拽	  
抻	  
押	  
掴	  
揣	  
撂	  
摁	  
撄	  
摧	  
攫	  
贽	  
捆	  
擐	  
摆	  
扑	  
揽	  
搜	  
拍	  
捭	  
擤	  
摠	  
搥	  
拖	  
挺	  
捶	  
插	  
扦	  
托	  
攒	  
攥	  
挢	  
撬	  
揪	  
括	  
授	  
援	  
捋	  
播	  
搯	  
摇	  
扒	  
扮	  
挑	  
挼	  
採	  
抱	  
挣	  
抑	  
投	  
搀	  
执	  
抵	  
鸷	  
拥	  
扺	  
捀	  
挽	  
换	  
捣	  
掐	  
掏	  
掬	  
抛	  
指	  
撸	  
拘	  
扳	  
抓	  
拆	  
折	  
搋	  
掀	  
搬	  
掷	  
搛	  
拌	  
拦	  
拼	  
搓	  
撙	  
掸	  
撇	  
擞	  
搂	  
搠	  
摔	  
搪	  
摭	  
抃	  
拄	  
拉	  
扩	  
誓	  
掂	  
搐	  
摘	  
撞	  
擅	  
挤	  
撤	  
㨰	  
挍	  
抗	  
搒	  
接	  
掖	  
揞	  
掊	  
掠	  
搞	  
攘	  
搧	  
护	  
捩	  
挥	  
掮	  
探	  
扪	  
搁	  
披	  
拨	  
扬	  
势	  
扔	  
招	  
抢	  
捡	  
拴	  
拊	  
抡	  
推	  
拎	  
捻	  
携	  
揄	  
拾	  
挫	  
逝	  
担	  
捍	  
提	  
撮	  
揭	  
捏	  
描	  
捞	  
搭	  
搽	  
摸	  
揸	  
挹	  
揖	  
捉	  
踅	  
损	  
捌	  
拐	  
捐	  
操	  
哲	  
扣	  
揿	  
撷	  
持	  
拮	  
垫	  
挂	  
挡	  
抄	  
捎	  
撑	  
手	  
挚	  
後	  
很	  
律	  
径	  
彳	  
行	  
彻	  
徕	  
征	  
衙	  
衠	  
德	  
徘	  
徙	  
徂	  
衢	  
微	  
徵	  
徽	  
徊	  
徨	  
徼	  
御	  
徭	  
役	  
衡	  
徇	  
循	  
徉	  
往	  
衒	  
彷	  
惩	  
愆	  
彼	  
徐	  
得	  
衍	  
衔	  
街	  
待	  
徒	  
徜	  
